Movie_Title,Genre,Rating,Votes,Popularity_Score,Region,Gross_Proxy
The Rip,Action,6.8,75000.0,510000.0,Bollywood,510000.0
Sinners,Action,7.5,376000.0,2820000.0,Others,2820000.0
One Battle After Another,Action,7.8,299000.0,2332200.0,Others,2332200.0
Mercy,Action,6.2,5900.0,36580.0,Bollywood,36580.0
Avatar: Fire and Ash,Action,7.4,121000.0,895400.0,Bollywood,895400.0
The Running Man,Action,6.4,71000.0,454400.0,Bollywood,454400.0
Border 2,Action,7.7,16000.0,123200.0,Bollywood,123200.0
F1: The Movie,Action,7.7,301000.0,2317700.0,Others,2317700.0
The Smashing Machine,Action,6.4,59000.0,377600.0,Bollywood,377600.0
Zootopia 2,Action,7.5,66000.0,495000.0,Bollywood,495000.0
Dhurandhar,Action,8.5,103000.0,875500.0,Bollywood,875500.0
Predator: Badlands,Action,7.3,89000.0,649700.0,Bollywood,649700.0
Greenland 2: Migration,Action,5.5,7100.0,39050.0,Bollywood,39050.0
Dust Bunny,Action,6.6,7300.0,48180.0,Bollywood,48180.0
Tron: Ares,Action,6.2,67000.0,415400.0,Bollywood,415400.0
No Time to Die,Action,7.3,481000.0,3511300.0,Others,3511300.0
The Tank,Action,6.5,11000.0,71500.0,Bollywood,71500.0
Anaconda,Action,5.9,19000.0,112100.0,Bollywood,112100.0
Ballerina,Action,6.8,135000.0,918000.0,Bollywood,918000.0
The Dark Knight,Action,9.1,3100000.0,28210000.0,Hollywood,28210000.0
KPop Demon Hunters,Action,7.5,115000.0,862500.0,Bollywood,862500.0
Inception,Action,8.8,2800000.0,24640000.000000004,Hollywood,24640000.000000004
Superman,Action,7.1,384000.0,2726400.0,Others,2726400.0
Jurassic World: Rebirth,Action,5.8,175000.0,1015000.0,Bollywood,1015000.0
The Shadow's Edge,Action,7.1,7300.0,51830.0,Bollywood,51830.0
The Naked Gun,Action,6.3,110000.0,693000.0,Bollywood,693000.0
Greenland,Action,6.4,160000.0,1024000.0,Bollywood,1024000.0
The Fantastic Four: First Steps,Action,6.8,240000.0,1632000.0,Others,1632000.0
Sirat,Action,7.0,16000.0,112000.0,Bollywood,112000.0
Avatar,Action,7.9,1500000.0,11850000.0,Hollywood,11850000.0
Avatar: The Way of Water,Action,7.5,598000.0,4485000.0,Hollywood,4485000.0
